0.999536		0
0.986215		0.0133203
0.992647		0.0100257
0.990822		0.00732047
0.989725		0.0057756
0.989656		0.00471626
0.991649		0.00445633
0.992898		0.00405648
0.993611		0.00364788
0.994663		0.00342823
0.994845		0.00310626
0.996309		0.00319121
0.996518		0.00294294
0.996358		0.00272932
0.996063		0.00255794
0.996753		0.00249005
0.99654		0.00234865
0.99778		0.00253808
0.998221		0.00244085
0.99782		0.00235003
0.998558		0.00235395
0.998379		0.00225147
0.998293		0.00215308
0.99842		0.0020653
0.998483		0.00198199
0.997943		0.00197956
0.997504		0.00195458
0.997367		0.00188851
0.998171		0.00199193
0.999297		0.0022297
0.999162		0.00216081
0.999101		0.0020931
0.999584		0.0020855
0.999259		0.00204921
0.999346		0.00199172
0.999269		0.00193714
0.999339		0.00188534
0.999734		0.00187718
0.999274		0.00188561
0.999216		0.00183877
0.998794		0.00184223
0.998973		0.0018067
0.999052		0.00176592
0.998246		0.00190417
0.998824		0.00194911
0.998556		0.00192506
0.998847		0.00190603
0.999067		0.00187884
0.999046		0.00184021
0.999116		0.00180438
0.999269		0.00177525
0.99946		0.00175122
0.999897		0.00177264
1.00052		0.0018464
1.00079		0.00183241
1.00095		0.00180732
1.0014		0.00183095
1.00156		0.0018061
1.0017		0.00178028
1.00168		0.0017504
1.00164		0.00172193
1.00171		0.00169533
1.00174		0.00166851
1.00183		0.00164434
1.00176		0.00162042
1.00156		0.00160776
1.00157		0.00158363
1.00154		0.00156042
1.00153		0.00153773
1.00142		0.00151924
1.00147		0.00149832
1.00151		0.00147794
1.00178		0.00148376
1.00164		0.00147059
1.00168		0.00145127
1.00153		0.0014397
1.00148		0.00142154
1.00154		0.00140439
1.00154		0.0013865
1.00143		0.00137331
1.00128		0.00136487
1.0011		0.00135965
1.00144		0.00138418
1.00145		0.00136771
1.00145		0.00135152
1.0014		0.00133688
1.00119		0.00133694
1.00147		0.00135154
1.00164		0.00134624
1.00175		0.00133601
1.00152		0.00134092
1.00139		0.00133278
1.00118		0.0013347
1.0012		0.00132056
1.00125		0.00130745
1.00148		0.00131409
1.00145		0.00130076
1.0015		0.00128835
1.00161		0.00127974
1.00152		0.00126995
