#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.053736    0.053736           0
           2    0.053726    0.053731 3.53553e-06
           3    0.032242    0.046568  0.00584857
           4    0.039462   0.0447915  0.00464841
           5     0.04437   0.0447072  0.00371949
           6    0.027006    0.041757  0.00410615
           7    0.045166    0.042244  0.00354832
           8    0.043306   0.0423768  0.00310726
           9    0.042714   0.0424142  0.00276223
          10      0.0389   0.0420628  0.00250826
          11    0.032998   0.0412387  0.00241182
          12     0.02298   0.0397172  0.00264764
          13    0.038212   0.0396014  0.00244651
          14     0.03173   0.0390391  0.00233547
          15    0.043718   0.0393511   0.0022005
          16    0.033058   0.0389578  0.00209783
          17     0.04256   0.0391696   0.0019851
          18    0.042834   0.0393732  0.00188522
          19    0.042218   0.0395229  0.00179194
          20    0.038592   0.0394764  0.00170294
