#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.094252    0.094252           0
           2    0.106118    0.100185  0.00419526
           3    0.065946    0.088772  0.00972934
           4    0.076182   0.0856245   0.0077895
           5    0.098514   0.0882024  0.00664449
           6    0.070968     0.08533  0.00612657
           7    0.095436   0.0867737  0.00541878
           8    0.089578   0.0871243  0.00475275
           9    0.091624   0.0876242  0.00425089
          10    0.088868   0.0877486  0.00382762
          11    0.091046   0.0880484  0.00349137
          12     0.07912   0.0873043  0.00327874
          13    0.089772   0.0874942  0.00303202
          14    0.079136   0.0868971  0.00287362
          15    0.101398   0.0878639  0.00284001
          16     0.07219   0.0868842  0.00282641
          17    0.100952   0.0877118  0.00277865
          18    0.083856   0.0874976  0.00263253
          19     0.09898   0.0881019   0.0025624
          20    0.087394   0.0880665  0.00243453
