#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.898518    0.898518           0
           2    0.728678    0.813598   0.0600475
           3    0.927832    0.851676   0.0506869
           4    0.890634    0.861415   0.0389396
           5     0.94918    0.878968   0.0348843
           6    0.834423    0.871544   0.0298498
           7    0.950014    0.882754   0.0276104
           8    0.792302    0.871448   0.0263727
           9    0.937316    0.878766   0.0244368
          10    0.925926    0.883482   0.0224436
          11      0.9309    0.887793   0.0208131
          12    0.931082      0.8914   0.0193888
          13    0.934547    0.894719   0.0181792
          14    0.939936    0.897949   0.0171652
          15    0.848898    0.894679   0.0163293
          16    0.847032    0.891701   0.0155779
          17    0.850868    0.889299   0.0148456
          18    0.729513    0.880422   0.0164623
          19    0.854187    0.879041   0.0156537
          20    0.912156    0.880697   0.0149583
