#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.438616    0.438616           0
           2    0.393182    0.415899   0.0160633
           3     0.46261    0.431469   0.0166224
           4    0.420851    0.428815    0.012677
           5      0.4812    0.439292   0.0138082
           6     0.43478     0.43854   0.0115273
           7    0.438656    0.438556  0.00988056
           8    0.460276    0.441271  0.00901077
           9    0.406585    0.437417  0.00879526
          10    0.479641     0.44164  0.00887155
          11    0.435126    0.441048  0.00808478
          12    0.404897    0.438035  0.00795253
          13    0.436672     0.43793  0.00734149
          14    0.483287     0.44117  0.00749795
          15    0.340939    0.434488  0.00952085
          16    0.424575    0.433868  0.00894593
          17    0.468754     0.43592  0.00865186
          18    0.418962    0.434978  0.00822234
          19     0.41375    0.433861  0.00786513
          20    0.477477    0.436042  0.00776833
