#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.041632    0.041632           0
           2    0.045124    0.043378  0.00123461
           3    0.022956   0.0365707  0.00561878
           4    0.026404    0.034029  0.00475432
           5    0.039606   0.0351444  0.00393212
           6     0.02125   0.0328287  0.00389949
           7    0.037226   0.0334569  0.00339264
           8    0.029406   0.0329505  0.00300611
           9    0.036878   0.0333869  0.00270359
          10    0.028732   0.0329214  0.00247298
          11     0.02597   0.0322895  0.00232751
          12    0.016158   0.0309452  0.00249169
          13    0.027846   0.0307068   0.0023114
          14    0.024356   0.0302531  0.00219036
          15    0.038176   0.0307813  0.00210706
          16     0.02885   0.0306606  0.00197882
          17    0.032672   0.0307789  0.00186596
          18    0.031952   0.0308441  0.00176343
          19    0.033252   0.0309708  0.00167517
          20    0.027982   0.0308214  0.00159806
