#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.62775     0.62775           0
           2     0.56046    0.594105   0.0237906
           3    0.598439     0.59555   0.0159042
           4    0.695169    0.620454   0.0246469
           5    0.678911    0.632146   0.0223188
           6     0.61936    0.630015   0.0187005
           7      0.6889    0.638427   0.0178209
           8    0.611174     0.63502   0.0159155
           9    0.683441      0.6404    0.015029
          10    0.720187    0.648379   0.0154999
          11    0.665985     0.64998   0.0141733
          12    0.748778    0.658213   0.0151965
          13    0.709039    0.662123   0.0145217
          14    0.727385    0.666784    0.014213
          15    0.562149    0.659808   0.0148791
          16    0.610793    0.656745   0.0142611
          17    0.674155    0.657769   0.0134589
          18    0.595939    0.654334   0.0131422
          19    0.714878    0.657521    0.012831
          20    0.675033    0.658396   0.0122193
