#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.254349    0.254349           0
           2    0.174516    0.214433   0.0282252
           3    0.183907    0.204257   0.0205693
           4    0.190825    0.200899   0.0156987
           5    0.195431    0.199806    0.012597
           6    0.200815    0.199974   0.0104986
           7    0.194069     0.19913  0.00903263
           8    0.176185    0.196262  0.00834651
           9    0.201151    0.196805  0.00743678
          10    0.205636    0.197688  0.00674532
          11    0.206767    0.198514   0.0061824
          12    0.184785     0.19737  0.00577208
          13    0.201785    0.197709  0.00533806
          14    0.196796    0.197644  0.00495717
          15    0.180492    0.196501  0.00475674
          16    0.198907    0.196651  0.00446182
          17    0.198682     0.19677  0.00420096
          18    0.173495    0.195477  0.00416183
          19    0.223044    0.196928  0.00418806
          20    0.192357      0.1967  0.00398489
