#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.065404    0.065404           0
           2     0.06777    0.066587 0.000836507
           3    0.043386   0.0588533  0.00633909
           4    0.051394   0.0569885  0.00502113
           5    0.053604   0.0563116  0.00406227
           6    0.040414    0.053662  0.00416054
           7    0.057932    0.054272  0.00361062
           8    0.054156   0.0542575  0.00315932
           9    0.059412   0.0548302  0.00285972
          10     0.05078   0.0544252  0.00260228
          11    0.048544   0.0538905  0.00242001
          12    0.036728   0.0524603  0.00260693
          13    0.051232   0.0523658  0.00240811
          14    0.039282   0.0514313  0.00241063
          15    0.060956   0.0520663  0.00233206
          16    0.045184   0.0516361  0.00222562
          17     0.05827   0.0520264  0.00212863
          18    0.058372   0.0523789  0.00203936
          19    0.056302   0.0525854  0.00194245
          20    0.055142   0.0527132  0.00184953
