#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.188734    0.188734           0
           2    0.121967     0.15535   0.0236057
           3    0.137064    0.149255   0.0165054
           4    0.145392    0.148289   0.0124073
           5    0.146934    0.148018  0.00992876
           6    0.139597    0.146615  0.00837258
           7    0.134591    0.144897  0.00735058
           8    0.135471    0.143719  0.00652551
           9     0.15844    0.145354  0.00600195
          10    0.157042    0.146523  0.00551438
          11     0.16586    0.148281  0.00528585
          12     0.13819     0.14744  0.00491179
          13    0.136184    0.146574  0.00460965
          14    0.138841    0.146022  0.00431336
          15     0.14566    0.145998  0.00402587
          16    0.131307     0.14508  0.00387754
          17    0.138176    0.144674  0.00367065
          18    0.136205    0.144203  0.00349675
          19    0.154098    0.144724  0.00335127
          20    0.147619    0.144869  0.00318683
