#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.039976    0.039976           0
           2    0.041124     0.04055 0.000405879
           3    0.023426    0.034842  0.00466841
           4    0.026464   0.0327475  0.00394327
           5    0.033828   0.0329636  0.00316053
           6    0.018416    0.030539   0.0034403
           7    0.033852   0.0310123  0.00298121
           8    0.026108   0.0303993  0.00267084
           9    0.035892   0.0310096  0.00244282
          10     0.02587   0.0304956  0.00225195
          11    0.026228   0.0301076  0.00208038
          12    0.013712   0.0287413  0.00231256
          13    0.023532   0.0283406  0.00216911
          14    0.024066   0.0280353  0.00203555
          15     0.03408   0.0284383  0.00193933
          16     0.02578   0.0282721  0.00182522
          17    0.029806   0.0283624  0.00172008
          18    0.028534   0.0283719  0.00162455
          19    0.031548   0.0285391  0.00154762
          20    0.027908   0.0285075  0.00147056
