#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.117814    0.117814           0
           2    0.140902    0.129358  0.00816284
           3    0.085492    0.114736   0.0131206
           4    0.096454    0.110166   0.0106067
           5    0.140536     0.11624   0.0100755
           6     0.08583    0.111171  0.00958664
           7     0.11924    0.112324  0.00828613
           8    0.124154    0.113803  0.00738113
           9     0.12659    0.115224  0.00669636
          10    0.107898    0.114491  0.00606666
          11    0.122778    0.115244  0.00556172
          12    0.094738    0.113535  0.00535434
          13    0.120792    0.114094  0.00497148
          14    0.099072    0.113021  0.00473075
          15    0.112306    0.112973   0.0044156
          16    0.096988    0.111974  0.00425115
          17    0.127292    0.112875  0.00409546
          18    0.114774    0.112981  0.00386929
          19    0.128918    0.113819  0.00375547
          20    0.101006    0.113179  0.00362193
