#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.045476    0.045476           0
           2    0.048442    0.046959  0.00104864
           3    0.026174   0.0400307  0.00569999
           4    0.031824    0.037979  0.00462953
           5    0.041508   0.0386848  0.00375704
           6    0.025384    0.036468  0.00372794
           7    0.042022   0.0372614  0.00327872
           8    0.035228   0.0370073  0.00287872
           9    0.041124   0.0374647  0.00259495
          10    0.034578    0.037176  0.00235145
          11    0.027734   0.0363176    0.002289
          12     0.01839   0.0348237  0.00253941
          13    0.032686   0.0346592  0.00234939
          14    0.025162   0.0339809  0.00227741
          15    0.040746   0.0344319  0.00216978
          16    0.030632   0.0341944  0.00204712
          17    0.038352   0.0344389  0.00194126
          18    0.037668   0.0346183  0.00184168
          19    0.037762   0.0347838  0.00175217
          20    0.033014   0.0346953  0.00166679
