#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.061998    0.061998           0
           2    0.060046    0.061022 0.000690136
           3    0.030798   0.0509473  0.00823879
           4    0.042516   0.0488395  0.00644309
           5    0.043526   0.0477768  0.00524138
           6    0.032128   0.0451687  0.00497458
           7    0.051674    0.046098  0.00434987
           8    0.044972   0.0459573  0.00380841
           9     0.04873   0.0462653  0.00339769
          10    0.045176   0.0461564  0.00305967
          11    0.039284   0.0455316  0.00284459
          12    0.033482   0.0445275  0.00277912
          13    0.044462   0.0445225  0.00256535
          14    0.035284   0.0438626  0.00246552
          15    0.053474   0.0445033  0.00238296
          16    0.035428   0.0439361  0.00230054
          17    0.046944   0.0441131  0.00217201
          18    0.054498     0.04469  0.00212659
          19    0.049068   0.0449204  0.00202711
          20    0.045472    0.044948  0.00192594
