#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.070126    0.070126           0
           2     0.07372    0.071923  0.00127067
           3    0.049602   0.0644827  0.00613378
           4    0.062038   0.0638715  0.00463069
           5     0.06534   0.0641652  0.00371385
           6     0.04367   0.0607493  0.00439337
           7    0.065994   0.0614986   0.0038291
           8    0.064436   0.0618658  0.00336802
           9    0.063726   0.0620724  0.00300013
          10    0.062268    0.062092  0.00270018
          11    0.056324   0.0615676  0.00250511
          12    0.049158   0.0605335  0.00250071
          13    0.056866   0.0602514  0.00232421
          14    0.054942   0.0598721  0.00218891
          15    0.062274   0.0600323  0.00204883
          16    0.054444    0.059683  0.00195032
          17    0.064952   0.0599929  0.00186006
          18    0.060648   0.0600293  0.00175708
          19    0.069352     0.06052  0.00173176
          20     0.06198    0.060593  0.00164671
