#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.080854    0.080854           0
           2      0.0896    0.085227  0.00309218
           3     0.04994   0.0734647  0.00982266
           4     0.06722   0.0719035  0.00749003
           5    0.082156    0.073954  0.00626642
           6     0.04967   0.0699067  0.00639689
           7    0.078942   0.0711974  0.00561176
           8    0.073794    0.071522  0.00491967
           9     0.07925   0.0723807  0.00444734
          10    0.069268   0.0720694  0.00401349
          11    0.074652   0.0723042  0.00365548
          12    0.058738   0.0711737  0.00352134
          13    0.066544   0.0708175  0.00326842
          14    0.063252   0.0702771  0.00307932
          15    0.079388   0.0708845  0.00293332
          16    0.064306   0.0704734  0.00277865
          17    0.078104   0.0709222  0.00265121
          18    0.069474   0.0708418  0.00250514
          19    0.083958   0.0715321  0.00246657
          20     0.06817    0.071364  0.00234897
