#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.555724   -0.555724           0
           2     -0.5536   -0.554662 0.000750947
           3    -0.55054   -0.553288   0.0012285
           4    -0.55354   -0.553351  0.00092299
           5   -0.554568   -0.553594 0.000769817
           6   -0.553892   -0.553644  0.00064311
           7    -0.55362   -0.553641 0.000551246
           8   -0.555168   -0.553832 0.000514343
           9   -0.556124   -0.554086 0.000516431
          10   -0.554932   -0.554171 0.000471663
          11   -0.554996   -0.554246 0.000434709
          12   -0.554656    -0.55428 0.000399825
          13   -0.555404   -0.554366 0.000378302
          14    -0.55612   -0.554492 0.000371437
          15   -0.556124   -0.554601 0.000362265
          16   -0.556156   -0.554698 0.000352426
          17   -0.553952   -0.554654 0.000334414
          18   -0.553492   -0.554589 0.000322005
          19   -0.554264   -0.554572 0.000305512
          20   -0.555792   -0.554633 0.000296262
