#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.483808   -0.483808           0
           2   -0.482264   -0.483036 0.000545886
           3    -0.48014   -0.482071 0.000868151
           4    -0.48162   -0.481958 0.000658384
           5   -0.481876   -0.481942 0.000526911
           6   -0.482652    -0.48206   0.0004522
           7    -0.48314   -0.482214 0.000413082
           8   -0.482932   -0.482304 0.000371061
           9   -0.483784   -0.482468 0.000364454
          10   -0.482028   -0.482424 0.000330659
          11   -0.482472   -0.482429 0.000300628
          12   -0.481556   -0.482356 0.000284236
          13   -0.482588   -0.482374 0.000262932
          14   -0.483924   -0.482485 0.000266447
          15   -0.482888   -0.482511 0.000250037
          16   -0.484272   -0.482622 0.000257485
          17   -0.481356   -0.482547 0.000252871
          18   -0.481668   -0.482498 0.000243493
          19   -0.481124   -0.482426 0.000241181
          20   -0.482692   -0.482439 0.000229488
