#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.371542    0.371542           0
           2    0.364936    0.368239  0.00233563
           3     0.36858    0.368353  0.00155984
           4    0.357124    0.365545  0.00269804
           5    0.360907    0.364618  0.00231242
           6    0.369291    0.365397    0.002054
           7    0.373242    0.366517  0.00204359
           8    0.377255     0.36786  0.00218491
           9    0.377944     0.36898  0.00221086
          10    0.372537    0.369336  0.00201817
          11    0.376932    0.370026  0.00194927
          12    0.380753     0.37092  0.00198122
          13    0.378813    0.371527  0.00191959
          14    0.373605    0.371676  0.00178821
          15    0.371748    0.371681    0.001669
          16    0.363488    0.371169  0.00164135
          17    0.371625    0.371195  0.00154502
          18    0.376387    0.371484  0.00148587
          19     0.36563    0.371176  0.00143925
          20    0.358413    0.370538   0.0015021
