#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.51131     5.51131           0
           2     5.62488      5.5681   0.0401521
           3     5.16291     5.43304    0.113479
           4     5.81784     5.52924    0.119099
           5     5.75111     5.57361    0.103215
           6     5.23343     5.51691    0.100384
           7     5.63449     5.53371   0.0874372
           8     5.48097     5.52712   0.0767558
           9     5.81107     5.55867   0.0744298
          10     5.94039     5.59684   0.0761489
          11     5.72016     5.60805   0.0700466
          12     5.94538     5.63616   0.0696219
          13     5.65468     5.63759    0.064281
          14      5.2681     5.61119   0.0648816
          15     5.73619     5.61953   0.0610889
          16       5.661     5.62212   0.0573258
          17     5.67848     5.62543   0.0540495
          18     5.56374     5.62201   0.0511553
          19     5.79613     5.63117    0.049277
          20     5.58147     5.62869   0.0468758
