#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.678844   -0.678844           0
           2   -0.680744   -0.679794 0.000671751
           3   -0.678756   -0.679448 0.000529496
           4   -0.685568   -0.680978  0.00138325
           5   -0.682144   -0.681211  0.00112609
           6   -0.683912   -0.681661  0.00102443
           7   -0.681292   -0.681609 0.000879439
           8   -0.684272   -0.681942 0.000830139
           9   -0.683152   -0.682076 0.000748718
          10   -0.681936   -0.682062 0.000673977
          11     -0.6834   -0.682184 0.000623586
          12   -0.683928   -0.682329 0.000588319
          13   -0.680952   -0.682223 0.000552517
          14   -0.681336    -0.68216 0.000516672
          15   -0.685504   -0.682383 0.000528145
          16   -0.682888   -0.682414 0.000496079
          17   -0.682172     -0.6824 0.000467103
          18     -0.6826   -0.682411 0.000441285
          19   -0.682608   -0.682421 0.000418181
          20    -0.68158   -0.682379 0.000399383
