#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.971988   -0.971988           0
           2    -0.97505   -0.973519  0.00108258
           3   -0.972244   -0.973094  0.00080081
           4   -0.974332   -0.973403 0.000657702
           5   -0.967668   -0.972256  0.00115305
           6   -0.973484   -0.972461 0.000978856
           7   -0.979654   -0.973489  0.00126847
           8     -0.9788   -0.974152  0.00127185
           9   -0.973072   -0.974032  0.00113619
          10   -0.972862   -0.973915  0.00102858
          11   -0.971282   -0.973676 0.000962528
          12    -0.97606   -0.973875 0.000902587
          13   -0.966742   -0.973326 0.000985915
          14   -0.971408   -0.973189 0.000924962
          15   -0.975518   -0.973344 0.000876233
          16    -0.96948   -0.973103 0.000854105
          17   -0.975156   -0.973224 0.000812358
          18    -0.97477   -0.973309 0.000771757
          19    -0.97694   -0.973501 0.000754423
          20   -0.973294    -0.97349 0.000716772
