#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.246671    0.246671           0
           2    0.248834    0.247752 0.000764429
           3    0.249807    0.248437 0.000756641
           4    0.252103    0.249354 0.000975662
           5    0.245392    0.248562  0.00105429
           6    0.250506    0.248886 0.000927037
           7    0.250129    0.249063 0.000811437
           8     0.25015    0.249199 0.000721287
           9    0.253661    0.249695  0.00079342
          10       0.251    0.249825 0.000724738
          11    0.255802    0.250369 0.000838137
          12    0.254643    0.250725 0.000840579
          13     0.24956    0.250635 0.000780679
          14    0.246821    0.250363 0.000770999
          15    0.249732    0.250321 0.000720743
          16    0.250163    0.250311 0.000675764
          17    0.249252    0.250249 0.000638877
          18    0.251559    0.250321 0.000607515
          19    0.247945    0.250196 0.000588279
          20    0.249456    0.250159 0.000560029
