#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.92972     2.92972           0
           2     2.97236     2.95104   0.0150755
           3     2.82289     2.90833   0.0362976
           4     3.02159     2.93664   0.0366401
           5     3.03982     2.95728   0.0346389
           6      2.8406     2.93783   0.0338873
           7     3.00482      2.9474   0.0303675
           8     3.03579     2.95845   0.0285105
           9     3.09763     2.97391   0.0292372
          10     2.88811     2.96533   0.0275436
          11     3.16955      2.9839   0.0306643
          12     3.23014     3.00442   0.0342942
          13     3.02051     3.00566   0.0316785
          14     3.00346      3.0055   0.0294161
          15     2.95823     3.00235   0.0276233
          16     3.04683     3.00513   0.0260364
          17     3.11679      3.0117   0.0253197
          18     2.83876     3.00209   0.0256712
          19      3.0083     3.00242   0.0243221
          20     2.98735     3.00166   0.0231177
