#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.269693    0.269693           0
           2      0.2675    0.268596 0.000775303
           3     0.27199    0.269728  0.00105831
           4    0.270722    0.269976 0.000822441
           5    0.268511    0.269683 0.000708226
           6    0.272134    0.270092 0.000698096
           7    0.273105    0.270522 0.000718944
           8    0.270544    0.270525 0.000629081
           9    0.274182    0.270931 0.000677808
          10    0.272936    0.271132 0.000638985
          11    0.278861    0.271834 0.000886731
          12    0.276055    0.272186 0.000879823
          13    0.269825    0.272004 0.000830679
          14    0.270418    0.271891  0.00077903
          15    0.272882    0.271957 0.000729888
          16    0.276436    0.272237 0.000736004
          17    0.270911    0.272159 0.000696833
          18    0.272935    0.272202 0.000659453
          19    0.269282    0.272049 0.000642401
          20    0.271817    0.272037 0.000610386
