#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.348846    0.348846           0
           2    0.338915     0.34388  0.00351136
           3    0.341248    0.343003  0.00244809
           4    0.335239    0.341062  0.00248935
           5    0.333572    0.339564  0.00240021
           6    0.342672    0.340082  0.00205533
           7    0.353527    0.342003   0.0025031
           8     0.35392    0.343492  0.00259594
           9    0.353781    0.344636  0.00254682
          10    0.346492    0.344821  0.00229889
          11    0.355423    0.345785    0.002283
          12    0.352542    0.346348  0.00216107
          13    0.344413    0.346199  0.00199995
          14    0.342708     0.34595  0.00187258
          15    0.349235    0.346169  0.00176051
          16    0.342698    0.345952  0.00166379
          17    0.346117    0.345962  0.00156594
          18    0.347745    0.346061  0.00148208
          19      0.3365    0.345558  0.00148705
          20    0.340419    0.345301  0.00143472
