#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.229558    0.229558           0
           2    0.228999    0.229278 0.000197802
           3    0.230156    0.229571 0.000272849
           4    0.230526     0.22981 0.000290961
           5    0.227408    0.229329  0.00048871
           6    0.230738    0.229564 0.000460176
           7    0.230359    0.229678 0.000408196
           8    0.230348    0.229761 0.000365668
           9    0.232056    0.230016 0.000404267
          10    0.234039    0.230419   0.0005273
          11    0.233582    0.230706 0.000552237
          12    0.233026      0.2309 0.000538995
          13    0.229806    0.230815 0.000504062
          14    0.227485    0.230578 0.000521169
          15    0.234257    0.230823 0.000541087
          16    0.231566    0.230869 0.000509259
          17    0.227655     0.23068 0.000513207
          18    0.229625    0.230622 0.000488035
          19    0.227789    0.230473 0.000484579
          20    0.228266    0.230362 0.000472742
