#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.64534    -0.64534           0
           2   -0.644936   -0.645138 0.000142836
           3   -0.643472   -0.644583 0.000463319
           4   -0.648436   -0.645546 0.000903746
           5   -0.646156   -0.645668 0.000731185
           6   -0.647904   -0.646041 0.000697858
           7   -0.644552   -0.645828 0.000629735
           8   -0.648748   -0.646193 0.000648223
           9   -0.648116   -0.646407 0.000610397
          10   -0.646592   -0.646425 0.000549639
          11   -0.646752   -0.646455 0.000500474
          12   -0.647648   -0.646554  0.00046854
          13   -0.645808   -0.646497 0.000436001
          14   -0.647364   -0.646559 0.000409234
          15    -0.64796   -0.646652 0.000392467
          16    -0.64694    -0.64667  0.00036835
          17   -0.645808    -0.64662 0.000350157
          18   -0.646776   -0.646628 0.000330811
          19   -0.646228   -0.646607  0.00031407
          20   -0.644428   -0.646498 0.000316703
