#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.0279     15.0279           0
           2     15.0399     15.0339  0.00422054
           3     15.2927     15.1202   0.0704868
           4     14.2901     14.9127    0.187329
           5     16.0118     15.1325    0.247225
           6     15.4362     15.1831     0.21114
           7     15.1332      15.176    0.181097
           8     14.0958      15.041    0.202635
           9     14.7272     15.0061    0.183094
          10     16.7188     15.1774     0.23142
          11      16.102     15.2614    0.225131
          12     14.4483     15.1937    0.216328
          13     15.5796     15.2234    0.201715
          14     15.5404      15.246    0.188574
          15     15.7672     15.2808    0.179175
          16      14.822     15.2521    0.170255
          17      15.002     15.2374    0.160874
          18     15.6699     15.2614    0.153721
          19     15.7492     15.2871    0.147759
          20     14.7336     15.2594    0.142939
