#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     9.80257     9.80257           0
           2     10.2739     10.0382    0.166627
           3     10.2551     10.1105     0.12579
           4     9.47224     9.95094    0.167321
           5     10.2937     10.0195    0.147231
           6      10.329     10.0711    0.131418
           7     9.81116     10.0339    0.117772
           8     10.5737     10.1014    0.120841
           9     10.3222     10.1259    0.109876
          10     10.5542     10.1688    0.106908
          11     10.6525     10.2127    0.105847
          12     10.0847     10.2021   0.0975624
          13     10.2097     10.2027   0.0900594
          14     10.8691     10.2503   0.0953801
          15     10.9422     10.2964   0.0995525
          16     9.57269     10.2512    0.103095
          17     9.84676     10.2274   0.0997371
          18     10.2722     10.2299   0.0942273
          19     9.81352     10.2079   0.0917804
          20      10.361     10.2156   0.0875097
