#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.29579     4.29579           0
           2     4.39302      4.3444   0.0343736
           3     4.08705     4.25862   0.0736965
           4     4.50902     4.32122   0.0774211
           5     4.70185     4.39735   0.0920457
           6     4.18804     4.36246   0.0830525
           7     4.42843     4.37189   0.0717205
           8     4.39544     4.37483   0.0628159
           9     4.52581     4.39161    0.058033
          10     4.35305     4.38775   0.0523577
          11     4.52125     4.39989   0.0489842
          12     4.70852      4.4256    0.051211
          13     4.47114     4.42911   0.0473913
          14     4.13037     4.40777   0.0485732
          15     4.57572     4.41897   0.0466077
          16      4.4421     4.42041   0.0437171
          17      4.5431     4.42763    0.041737
          18     4.40343     4.42628   0.0394399
          19     4.55919     4.43328   0.0379794
          20     4.44655     4.43394   0.0360862
