#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.934286   -0.934286           0
           2   -0.931166   -0.932726  0.00110309
           3   -0.932986   -0.932813 0.000738788
           4   -0.935784   -0.933555 0.000849039
           5    -0.93152   -0.933148 0.000770675
           6   -0.942066   -0.934635  0.00150109
           7   -0.935294   -0.934729   0.0012896
           8   -0.933714   -0.934602  0.00113463
           9   -0.936136   -0.934772  0.00102128
          10   -0.934574   -0.934753 0.000919343
          11   -0.936802   -0.934939 0.000854436
          12   -0.936882   -0.935101 0.000798429
          13   -0.935824   -0.935156 0.000738946
          14   -0.936238   -0.935234 0.000690191
          15   -0.935262   -0.935236 0.000644181
          16   -0.932968   -0.935094 0.000619313
          17   -0.938854   -0.935315 0.000621126
          18   -0.937656   -0.935445  0.00060008
          19   -0.935112   -0.935428 0.000568753
          20    -0.93432   -0.935372 0.000543004
