#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.95208     1.95208           0
           2     1.88107     1.91658   0.0251065
           3     1.80572     1.87963   0.0345041
           4     1.88502     1.88097   0.0259044
           5     1.88429     1.88164    0.020732
           6     1.87379     1.88033   0.0173179
           7     1.93012     1.88744   0.0162393
           8     1.91692     1.89113   0.0146215
           9     2.00736     1.90404   0.0178095
          10     1.91774     1.90541   0.0160811
          11     1.95072     1.90953   0.0151374
          12     1.95957      1.9137   0.0144389
          13     1.98429     1.91913    0.014313
          14     1.90133     1.91786    0.013347
          15     1.88119     1.91541   0.0126791
          16      1.9837     1.91968   0.0125844
          17     1.98008     1.92323   0.0123355
          18     1.96847     1.92575   0.0119034
          19     1.92484      1.9257    0.011277
          20     1.87851     1.92334   0.0109572
