#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.292452    0.292452           0
           2    0.292146    0.292299 0.000108212
           3    0.292983    0.292527 0.000199602
           4    0.291325    0.292226 0.000300189
           5    0.295843     0.29295 0.000690075
           6    0.291555    0.292717 0.000612935
           7    0.299262    0.293652  0.00101262
           8    0.297181    0.294093 0.000977383
           9      0.2989    0.294627  0.00100417
          10    0.291063    0.294271 0.000964956
          11    0.300995    0.294882  0.00105318
          12    0.302842    0.295546  0.00115558
          13    0.294736    0.295483  0.00106837
          14    0.292003    0.295235  0.00102057
          15    0.298492    0.295452 0.000975364
          16    0.297028     0.29555 0.000919362
          17    0.295265    0.295534 0.000865435
          18    0.299309    0.295743 0.000842389
          19    0.294871    0.295697 0.000799302
          20    0.295107    0.295668 0.000759882
