#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.894144   -0.894144           0
           2    -0.89272   -0.893432  0.00050346
           3   -0.892934   -0.893266 0.000361974
           4   -0.888216   -0.892003  0.00112656
           5   -0.890434    -0.89169 0.000943965
           6   -0.894638   -0.892181 0.000905554
           7    -0.89258   -0.892238 0.000777981
           8   -0.893536     -0.8924 0.000697447
           9   -0.891492   -0.892299 0.000627211
          10    -0.88964   -0.892033 0.000618302
          11     -0.8917   -0.892003 0.000562835
          12   -0.894214   -0.892187 0.000545255
          13     -0.8941   -0.892334 0.000522785
          14   -0.893728   -0.892434 0.000494829
          15   -0.896018   -0.892673 0.000516314
          16   -0.888314     -0.8924 0.000551253
          17    -0.89329   -0.892453 0.000521304
          18    -0.89755   -0.892736 0.000564034
          19   -0.890606   -0.892624 0.000545375
          20   -0.892526   -0.892619 0.000518129
