#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.34841     0.34841           0
           2    0.322828    0.335619  0.00904463
           3    0.347553    0.339597  0.00684896
           4    0.327559    0.336587  0.00576008
           5    0.379792    0.345228  0.00899824
           6    0.344436    0.345096   0.0074995
           7    0.281272    0.335978   0.0106103
           8    0.285792    0.329705   0.0109831
           9    0.328129     0.32953  0.00976412
          10    0.349058    0.331483  0.00898086
          11    0.366991    0.334711  0.00872529
          12    0.310079    0.332658  0.00823609
          13    0.380285    0.336322  0.00837784
          14    0.347988    0.337155  0.00782075
          15    0.311198    0.335425  0.00748836
          16    0.359114    0.336905  0.00716521
          17    0.321867    0.336021  0.00679812
          18    0.312593    0.334719  0.00654384
          19    0.315535    0.333709  0.00627684
          20    0.343406    0.334194  0.00598169
