#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.19937     7.19937           0
           2     7.18476     7.19206  0.00516542
           3     7.17093     7.18502  0.00670281
           4     6.86809     7.10579   0.0688021
           5     7.65256     7.21514    0.112234
           6     7.57776     7.27558    0.108588
           7     7.09991     7.25048   0.0959313
           8     7.50301     7.28205   0.0889818
           9     7.32671     7.28701   0.0792332
          10     7.54303     7.31261   0.0753328
          11     7.68283     7.34627   0.0756298
          12     7.16798     7.33141   0.0707716
          13      7.5836     7.35081   0.0679343
          14     7.56338     7.36599   0.0647563
          15     7.46937     7.37289   0.0608048
          16     7.03575     7.35181   0.0605455
          17     7.39922      7.3546   0.0570481
          18     7.02214     7.33613   0.0567901
          19     7.17598      7.3277   0.0544231
          20     7.33805     7.32822   0.0517044
