#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.505864   -0.505864           0
           2   -0.505004   -0.505434 0.000304056
           3   -0.501312    -0.50406  0.00114003
           4    -0.50364   -0.503955 0.000859846
           5   -0.504212   -0.504006 0.000689411
           6   -0.503904   -0.503989 0.000574721
           7    -0.50466   -0.504085  0.00050054
           8   -0.505124   -0.504215 0.000454505
           9   -0.505828   -0.504394 0.000437917
          10   -0.504948    -0.50445 0.000397611
          11    -0.50446   -0.504451 0.000361466
          12   -0.504028   -0.504415 0.000333054
          13   -0.504944   -0.504456 0.000309908
          14   -0.507048   -0.504641 0.000338588
          15   -0.504896   -0.504658 0.000316442
          16   -0.505848   -0.504733 0.000305277
          17   -0.504172     -0.5047 0.000289095
          18   -0.503372   -0.504626 0.000282285
          19   -0.503232   -0.504552 0.000276795
          20   -0.504968   -0.504573 0.000263734
