#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.439529    0.439529           0
           2    0.443261    0.441395   0.0013195
           3    0.441245    0.441345  0.00088061
           4    0.433302    0.439334  0.00186237
           5    0.442449    0.439957  0.00159067
           6    0.452334     0.44202  0.00230284
           7    0.430253    0.440339  0.00251363
           8    0.430374    0.439093    0.002489
           9    0.458237    0.441221  0.00298608
          10    0.452209    0.442319  0.00288258
          11     0.44196    0.442287  0.00262071
          12    0.421701    0.440571  0.00291014
          13    0.426105    0.439458  0.00289122
          14    0.444359    0.439808  0.00270581
          15     0.43961    0.439795  0.00252546
          16    0.458458    0.440962  0.00262319
          17    0.441576    0.440998  0.00246913
          18    0.436875    0.440769  0.00234255
          19    0.447459    0.441121  0.00224557
          20    0.433844    0.440757  0.00216257
