#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.613368   -0.613368           0
           2    -0.61212   -0.612744 0.000441235
           3   -0.610144   -0.611877 0.000766335
           4   -0.614172   -0.612451  0.00075971
           5   -0.612876   -0.612536 0.000612504
           6   -0.614104   -0.612797 0.000563419
           7   -0.611872   -0.612665 0.000498197
           8   -0.615544   -0.613025 0.000550762
           9   -0.615264   -0.613274 0.000542852
          10   -0.613152   -0.613262 0.000488703
          11      -0.614   -0.613329 0.000448862
          12   -0.614908    -0.61346 0.000430318
          13   -0.613736   -0.613482 0.000397739
          14   -0.614732   -0.613571 0.000379226
          15   -0.614088   -0.613605 0.000355508
          16   -0.613592   -0.613605 0.000333289
          17    -0.61272   -0.613552 0.000317719
          18   -0.612696   -0.613505  0.00030361
          19   -0.613168   -0.613487 0.000288148
          20   -0.611516   -0.613389 0.000290107
