#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.211327    0.211327           0
           2    0.212521    0.211924 0.000421988
           3     0.21206    0.211969 0.000283737
           4    0.212041    0.211987 0.000213374
           5    0.208457    0.211281  0.00065424
           6    0.214586    0.211832 0.000741704
           7    0.211569    0.211794 0.000636698
           8    0.214529    0.212136 0.000642362
           9    0.213147    0.212248 0.000580722
          10      0.2146    0.212484 0.000568274
          11    0.213562    0.212582 0.000524999
          12    0.216662    0.212922 0.000581035
          13    0.210203    0.212713 0.000572739
          14    0.209728    0.212499 0.000570125
          15    0.217325    0.212821 0.000616232
          16    0.217197    0.213095 0.000635505
          17    0.209056    0.212857 0.000640989
          18     0.21156    0.212785 0.000609413
          19    0.210137    0.212646 0.000593066
          20    0.212075    0.212617 0.000564099
