#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.848724   -0.848724           0
           2   -0.847778   -0.848251 0.000334462
           3   -0.849072   -0.848525 0.000315668
           4   -0.844896   -0.847617 0.000820527
           5   -0.849218   -0.847938 0.000716143
           6   -0.848516   -0.848034 0.000603239
           7   -0.848302   -0.848072 0.000518276
           8    -0.84811   -0.848077 0.000453513
           9   -0.845352   -0.847774 0.000493959
          10   -0.849978   -0.847995  0.00049127
          11   -0.848946   -0.848081 0.000454159
          12   -0.849312   -0.848184 0.000427739
          13   -0.849012   -0.848247 0.000399554
          14   -0.849644   -0.848347 0.000383266
          15    -0.85044   -0.848487 0.000382268
          16   -0.846886   -0.848387 0.000371236
          17   -0.850552   -0.848514 0.000370607
          18   -0.848352   -0.848505 0.000350127
          19   -0.847624   -0.848459 0.000334756
          20   -0.846864   -0.848379 0.000327375
