#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.398788    0.398788           0
           2    0.404439    0.401613  0.00199808
           3    0.436467    0.413231  0.00957911
           4    0.440776    0.420117  0.00933696
           5    0.423657    0.420825  0.00749635
           6    0.422752    0.421146  0.00625383
           7    0.435846    0.423246  0.00570212
           8    0.393056    0.419473  0.00611184
           9    0.419704    0.419498   0.0054328
          10    0.431589    0.420707  0.00502225
          11    0.429391    0.421497  0.00462731
          12    0.409239    0.420475  0.00435299
          13    0.420111    0.420447  0.00401824
          14    0.404468    0.419306  0.00388995
          15    0.402649    0.418195  0.00378581
          16    0.410999    0.417746  0.00357582
          17    0.395362    0.416429  0.00359973
          18    0.430881    0.417232  0.00348814
          19    0.408859    0.416791  0.00333227
          20    0.424675    0.417185  0.00318889
