#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     43.4535     43.4535           0
           2     40.4267     41.9401     1.07015
           3      42.367     42.0824    0.722834
           4      46.396     43.1608     1.07986
           5     41.6517      42.859    0.905085
           6     50.2722     44.0945     1.35684
           7     44.0917     44.0941       1.163
           8     42.9042     43.9454     1.02709
           9      45.203     44.0851    0.922429
          10     43.7581     44.0524    0.830765
          11     45.7844     44.2099    0.770018
          12     44.6054     44.2428    0.706555
          13     44.7497     44.2818     0.65328
          14     44.6943     44.3113    0.607281
          15     44.6317     44.3326    0.567171
          16      42.159     44.1968    0.547751
          17      45.717     44.2862    0.522779
          18     47.5139     44.4655    0.523586
          19      43.865     44.4339    0.496982
          20     43.3197     44.3782    0.475245
