#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.716396   -0.716396           0
           2      -0.718   -0.717198   0.0005671
           3   -0.716372   -0.716923 0.000439856
           4   -0.723316   -0.718521  0.00142297
           5    -0.72078   -0.718973  0.00120797
           6   -0.721544   -0.719401  0.00107998
           7   -0.718464   -0.719267 0.000933963
           8   -0.722604   -0.719685 0.000905566
           9   -0.720008    -0.71972 0.000805661
          10   -0.720632   -0.719812 0.000730233
          11   -0.719964   -0.719825  0.00066398
          12   -0.723652   -0.720144 0.000680928
          13   -0.718728   -0.720035 0.000637205
          14    -0.71888   -0.719953 0.000597011
          15   -0.722092   -0.720095  0.00057399
          16    -0.72248   -0.720245 0.000557128
          17   -0.721544   -0.720321 0.000529574
          18    -0.72188   -0.720408 0.000507186
          19   -0.721492   -0.720465 0.000483693
          20   -0.719528   -0.720418  0.00046177
