#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.529732   -0.529732           0
           2   -0.527888    -0.52881 0.000651952
           3   -0.525108   -0.527576   0.0010973
           4   -0.526832    -0.52739 0.000838595
           5    -0.52816   -0.527544  0.00068487
           6   -0.527988   -0.527618 0.000574709
           7     -0.5276   -0.527615 0.000492613
           8   -0.529116   -0.527803 0.000465379
           9   -0.529872   -0.528033 0.000467012
          10   -0.528928   -0.528122 0.000428803
          11   -0.528904   -0.528193 0.000395664
          12     -0.5274   -0.528127 0.000368176
          13    -0.52952   -0.528234 0.000355098
          14   -0.530292   -0.528381 0.000358861
          15    -0.52882   -0.528411 0.000336126
          16    -0.52942   -0.528474 0.000320983
          17   -0.527628   -0.528424 0.000305933
          18   -0.527552   -0.528376 0.000292747
          19   -0.527736   -0.528342 0.000279268
          20   -0.529568   -0.528403  0.00027195
