#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.439571    0.439571           0
           2    0.442092    0.440831 0.000891194
           3    0.429278     0.43698  0.00320001
           4    0.440779     0.43793  0.00253703
           5     0.43705    0.437754  0.00203572
           6    0.445847    0.439103   0.0020962
           7    0.426449    0.437295  0.00245547
           8    0.437321    0.437298  0.00214854
           9     0.44278    0.437907  0.00199426
          10    0.440399    0.438157  0.00181032
          11     0.42929    0.437351  0.00181634
          12    0.431432    0.436857  0.00173064
          13    0.427011      0.4361  0.00175546
          14    0.449749    0.437075  0.00188142
          15     0.43251    0.436771  0.00178044
          16    0.443252    0.437176  0.00171462
          17    0.422785    0.436329   0.0018107
          18    0.429367    0.435942  0.00175094
          19    0.432822    0.435778  0.00166647
          20     0.44152    0.436065  0.00160768
