#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.759096   -0.759096           0
           2    -0.76193   -0.760513  0.00100197
           3   -0.762314   -0.761113 0.000828531
           4   -0.758716   -0.760514 0.000809652
           5   -0.761316   -0.760674  0.00066342
           6    -0.76294   -0.761052 0.000651507
           7   -0.760108   -0.760917 0.000572221
           8   -0.764098   -0.761315 0.000623718
           9   -0.759956   -0.761164 0.000572396
          10   -0.761552   -0.761203 0.000516471
          11   -0.761562   -0.761235 0.000470552
          12   -0.761428   -0.761251 0.000431613
          13   -0.761608   -0.761279 0.000399283
          14   -0.764294   -0.761494 0.000424897
          15   -0.763036   -0.761597 0.000408815
          16   -0.760692    -0.76154 0.000387157
          17   -0.762644   -0.761605 0.000369786
          18   -0.761446   -0.761596 0.000349348
          19   -0.759406   -0.761481 0.000349466
          20   -0.761954   -0.761505 0.000332792
