#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.21867     2.21867           0
           2     2.20436     2.21151  0.00505847
           3     2.11064     2.17789   0.0276607
           4     2.17736     2.17776   0.0207458
           5     2.17431     2.17707   0.0166081
           6     2.11674     2.16701   0.0166069
           7     2.23651     2.17694   0.0169443
           8     2.21215     2.18134   0.0153875
           9     2.30359     2.19492    0.018737
          10     2.22777     2.19821   0.0171488
          11     2.23745     2.20178   0.0159565
          12     2.26162     2.20676   0.0153863
          13     2.22953     2.20851   0.0143021
          14     2.19485     2.20754   0.0133138
          15     2.17115     2.20511   0.0126453
          16     2.26169     2.20865   0.0123394
          17     2.27281     2.21242   0.0121772
          18     2.22036     2.21286   0.0115086
          19     2.19685     2.21202   0.0109337
          20     2.19392     2.21112   0.0104245
