#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.582964   -0.582964           0
           2   -0.582592   -0.582778 0.000131522
           3   -0.578636   -0.581397  0.00113071
           4   -0.581912   -0.581526 0.000855325
           5    -0.58318   -0.581857  0.00074549
           6   -0.582228   -0.581919 0.000623803
           7   -0.581808   -0.581903 0.000534889
           8   -0.584232   -0.582194 0.000541497
           9   -0.585064   -0.582513 0.000567512
          10    -0.58258    -0.58252 0.000510801
          11   -0.583736    -0.58263 0.000476184
          12   -0.584072    -0.58275 0.000451406
          13   -0.582816   -0.582755  0.00041671
          14    -0.58414   -0.582854 0.000398509
          15   -0.583816   -0.582918 0.000377064
          16     -0.5828   -0.582911  0.00035357
          17   -0.582488   -0.582886 0.000333646
          18   -0.581804   -0.582826 0.000320481
          19   -0.581164   -0.582739 0.000315325
          20   -0.581604   -0.582682 0.000304619
