#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.195998    0.195998           0
           2    0.196004    0.196001 2.28565e-06
           3    0.197784    0.196595 0.000485293
           4    0.195857    0.196411 0.000397519
           5    0.195116    0.196152  0.00039336
           6    0.196955    0.196286 0.000349818
           7    0.196201    0.196274 0.000300051
           8    0.197858    0.196472 0.000321302
           9    0.196531    0.196478 0.000285669
          10    0.199416    0.196772 0.000379185
          11    0.195308    0.196639 0.000367339
          12    0.200012     0.19692 0.000431063
          13    0.194931    0.196767 0.000424175
          14    0.192555    0.196466 0.000489084
          15    0.199839    0.196691 0.000505538
          16    0.199772    0.196883   0.0005093
          17    0.194451     0.19674 0.000499034
          18    0.196561     0.19673  0.00047141
          19    0.194361    0.196606 0.000462801
          20    0.196679    0.196609 0.000439676
