#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.38208     1.38208           0
           2     1.36937     1.37573  0.00449578
           3     1.32449     1.35865   0.0142631
           4     1.33225     1.35205   0.0121281
           5     1.33535     1.34871    0.010152
           6     1.37595     1.35325  0.00942048
           7       1.365     1.35493  0.00822293
           8     1.36707     1.35645  0.00733387
           9     1.45021     1.36686   0.0117891
          10     1.35435     1.36561   0.0106764
          11     1.37063     1.36607  0.00971557
          12     1.37604      1.3669   0.0089414
          13     1.41064     1.37026   0.0088641
          14     1.34987     1.36881  0.00834981
          15      1.3503     1.36757   0.0078838
          16     1.41201     1.37035  0.00786498
          17     1.38508     1.37122  0.00744991
          18     1.39953     1.37279  0.00720022
          19     1.35789     1.37201  0.00686385
          20     1.37682     1.37225  0.00652488
