#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.80167    -0.80167           0
           2   -0.804044   -0.802857 0.000839336
           3   -0.802982   -0.802899  0.00056059
           4   -0.801332   -0.802507 0.000540208
           5   -0.803548   -0.802715  0.00047058
           6   -0.806548   -0.803354 0.000702735
           7   -0.803534    -0.80338 0.000602814
           8   -0.807432   -0.803886 0.000709029
           9   -0.802352   -0.803716 0.000650419
          10   -0.804554     -0.8038 0.000590754
          11   -0.804202   -0.803836  0.00053818
          12   -0.806164    -0.80403 0.000527134
          13   -0.803648   -0.804001 0.000487405
          14    -0.80762   -0.804259 0.000516619
          15    -0.80753   -0.804477 0.000526185
          16   -0.803412   -0.804411 0.000497493
          17   -0.804948   -0.804442 0.000469231
          18    -0.80575   -0.804515 0.000448751
          19    -0.80199   -0.804382 0.000444375
          20   -0.804868   -0.804406  0.00042282
