#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.395708    0.395708           0
           2    0.394757    0.395232 0.000336185
           3    0.396468    0.395644 0.000404041
           4    0.392511    0.394861 0.000742981
           5    0.389449    0.393779  0.00113598
           6    0.397072    0.394327  0.00107107
           7     0.40096    0.395275  0.00126982
           8    0.399429    0.395794  0.00121261
           9    0.407458     0.39709  0.00162933
          10    0.398899    0.397271  0.00147641
          11    0.410182    0.398445  0.00174751
          12    0.403548     0.39887  0.00165282
          13    0.410617    0.399774  0.00175541
          14    0.398943    0.399714  0.00163103
          15    0.387495      0.3989  0.00171369
          16    0.403607    0.399194  0.00163164
          17    0.398288    0.399141  0.00153653
          18    0.394908    0.398906  0.00146905
          19    0.393085    0.398599  0.00142331
          20    0.382166    0.397778  0.00157152
