#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.318543    0.318543           0
           2    0.311306    0.314925  0.00255885
           3     0.31984    0.316563  0.00216797
           4    0.310901    0.315148  0.00203633
           5    0.313265    0.314771  0.00166353
           6    0.313276    0.314522   0.0014048
           7    0.322266    0.315628  0.00158078
           8    0.322522     0.31649  0.00160093
           9    0.325305    0.317469  0.00169643
          10    0.319751    0.317697  0.00154205
          11     0.32491    0.318353  0.00153495
          12    0.328379    0.319189  0.00161854
          13    0.321636    0.319377  0.00150494
          14    0.313149    0.318932  0.00146171
          15    0.320619    0.319045  0.00136858
          16    0.318797    0.319029  0.00128313
          17     0.31757    0.318943  0.00121052
          18    0.320247    0.319016  0.00114544
          19    0.312279    0.318661  0.00113871
          20    0.318943    0.318675  0.00108186
