#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.46356    -0.46356           0
           2   -0.461696   -0.462628 0.000659024
           3   -0.459904    -0.46172 0.000861783
           4   -0.460852   -0.461503 0.000673104
           5   -0.460876   -0.461378  0.00055004
           6   -0.462028   -0.461486 0.000468927
           7   -0.463184   -0.461729 0.000460422
           8   -0.462568   -0.461834 0.000414653
           9   -0.463612   -0.462031 0.000412993
          10     -0.4624   -0.462068 0.000373337
          11   -0.462048   -0.462066 0.000339402
          12   -0.462192   -0.462077  0.00031128
          13   -0.460724   -0.461973  0.00030423
          14   -0.462792   -0.462031 0.000288074
          15   -0.462784   -0.462081 0.000273206
          16   -0.463752   -0.462186 0.000275362
          17    -0.46074   -0.462101  0.00027198
          18    -0.46124   -0.462053  0.00026104
          19     -0.4597   -0.461929 0.000275111
          20   -0.463236   -0.461994 0.000269004
