#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.54304     1.54304           0
           2     1.51048     1.52676   0.0115147
           3     1.47001     1.50784   0.0172482
           4     1.47431     1.49946    0.014834
           5     1.48005     1.49558   0.0123645
           6     1.51387     1.49863   0.0106729
           7      1.5206     1.50177   0.0095988
           8     1.51509     1.50343  0.00854222
           9     1.59003     1.51305     0.01183
          10     1.48685     1.51043   0.0109333
          11     1.52315     1.51159   0.0100003
          12     1.52089     1.51237  0.00919693
          13     1.55431     1.51559  0.00903762
          14     1.52173     1.51603   0.0084027
          15     1.50081     1.51502  0.00790354
          16     1.54836      1.5171  0.00767938
          17     1.54944       1.519  0.00745951
          18      1.5645     1.52153  0.00746102
          19     1.50595     1.52071  0.00711323
          20     1.51278     1.52031  0.00676862
