#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     24.5197     24.5197           0
           2     25.3754     24.9476    0.302528
           3     24.9863     24.9605     0.20196
           4     22.8854     24.4417     0.47411
           5      24.053      24.364    0.385611
           6      26.004     24.6373    0.406847
           7     24.9983     24.6889     0.35198
           8     24.1297      24.619    0.314848
           9     24.2684       24.58    0.282264
          10     24.2604     24.5481    0.255841
          11     26.3385     24.7108    0.279607
          12     26.2834     24.8419    0.285369
          13     26.0652      24.936      0.2785
          14     26.9633     25.0808    0.293854
          15     26.9857     25.2078    0.300455
          16     21.4217     24.9712    0.363091
          17     24.9301     24.9687    0.341741
          18     28.4505     25.1622    0.373508
          19     24.1438     25.1086    0.357674
          20     25.0697     25.1066    0.339796
