#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.53208     3.53208           0
           2     3.61764     3.57486   0.0302522
           3     3.38806     3.51259   0.0546936
           4     3.68414     3.55548   0.0553354
           5     3.67537     3.57946     0.04919
           6      3.3985      3.5493   0.0493798
           7     3.53197     3.54682   0.0423875
           8     3.64446     3.55903   0.0388063
           9     3.65181     3.56934   0.0358376
          10      3.6103     3.57343   0.0324871
          11     3.73131     3.58778   0.0325501
          12     3.83474     3.60836   0.0357565
          13     3.58259     3.60638   0.0330609
          14     3.45622     3.59566   0.0323926
          15     3.58981     3.59527   0.0302354
          16     3.69016      3.6012   0.0289215
          17     3.63885     3.60341   0.0273049
          18     3.53854     3.59981   0.0260248
          19     3.61915     3.60083   0.0246749
          20     3.50258     3.59591   0.0239251
