#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.73465     1.73465           0
           2     1.69646     1.71555   0.0135018
           3     1.62177     1.68429   0.0270664
           4     1.66228     1.67879   0.0208515
           5     1.66689     1.67641   0.0168165
           6     1.67609     1.67636   0.0140138
           7       1.697      1.6793   0.0123181
           8     1.69174     1.68086    0.010876
           9      1.7761     1.69144   0.0138926
          10     1.68462     1.69076   0.0125201
          11     1.71578     1.69303   0.0115866
          12     1.69425     1.69314   0.0106215
          13     1.74496     1.69712   0.0105259
          14     1.69812     1.69719  0.00977431
          15      1.6832     1.69626  0.00916708
          16     1.73359     1.69859  0.00888613
          17     1.74347     1.70123  0.00874676
          18     1.75029     1.70396  0.00867506
          19     1.70826     1.70419  0.00822144
          20     1.65219     1.70159  0.00821111
