#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.412337    0.412337           0
           2    0.439163     0.42575  0.00948441
           3    0.418979    0.423493  0.00658607
           4     0.41303    0.420877  0.00543421
           5     0.43245    0.423192  0.00481511
           6    0.441319    0.426213  0.00486901
           7    0.440439    0.428246  0.00457796
           8      0.4215    0.427402  0.00408264
           9    0.425479    0.427189   0.0036346
          10    0.432999     0.42777  0.00331726
          11    0.463256    0.430996  0.00430762
          12    0.453278    0.432853  0.00433041
          13    0.451681    0.434301  0.00423257
          14     0.45979    0.436121  0.00430405
          15    0.417868    0.434905  0.00418561
          16    0.399379    0.432684  0.00447433
          17    0.423969    0.432172   0.0042404
          18    0.441192    0.432673  0.00403432
          19    0.423363    0.432183  0.00385163
          20    0.447043    0.432926  0.00373003
