#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.420311    0.420311           0
           2    0.423422    0.421866  0.00109977
           3    0.413196    0.418976    0.002471
           4    0.418398    0.418832  0.00185748
           5    0.421577    0.419381  0.00156506
           6    0.427424    0.420721  0.00178841
           7    0.424079    0.421201  0.00159597
           8    0.418832    0.420905  0.00142368
           9    0.423968    0.421245  0.00130553
          10    0.416056    0.420726  0.00127396
          11    0.416846    0.420374    0.001206
          12    0.416138    0.420021  0.00115599
          13    0.415759    0.419693  0.00111259
          14    0.422686    0.419907  0.00105346
          15    0.423091    0.420119  0.00100439
          16    0.422344    0.420258   0.0009512
          17     0.42037    0.420265  0.00089527
          18    0.415071    0.419976 0.000890807
          19    0.428262    0.420412 0.000944667
          20    0.422313    0.420507 0.000902203
