#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     76.9855     76.9855           0
           2     80.1802     78.5829     1.12951
           3     77.7039     78.2899    0.790096
           4     79.4324     78.5755     0.64213
           5      72.532     77.3668     1.19693
           6      79.312      77.691     1.04042
           7     84.6305     78.6824     1.27972
           8     83.8276     79.3255     1.27114
           9     77.8508     79.1617     1.14041
          10     78.4334     79.0888     1.02869
          11     76.8534     78.8856     0.95504
          12     80.6146     79.0297    0.886256
          13     71.6864     78.4648    0.981729
          14     76.2699     78.3081    0.924039
          15     80.4493     78.4508    0.873393
          16     74.7661     78.2205    0.848624
          17     79.7544     78.3107    0.803488
          18     78.9813      78.348    0.759713
          19     82.4592     78.5644    0.749909
          20     78.6918     78.5707    0.712441
