#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.033434    0.033434           0
           2    0.025464    0.029449  0.00281782
           3      0.0328    0.030566  0.00208824
           4    0.023178    0.028719  0.00223863
           5    0.036038   0.0301828  0.00221845
           6    0.034812   0.0309543  0.00197832
           7    0.033306   0.0312903    0.001724
           8    0.031796   0.0313535  0.00150965
           9    0.043536   0.0327071  0.00185187
          10    0.031566    0.032593  0.00167019
          11    0.037484   0.0330376  0.00157643
          12    0.031534   0.0329123  0.00145003
          13    0.035448   0.0331074  0.00135155
          14    0.040702   0.0336499  0.00135952
          15    0.030628   0.0334484  0.00128373
          16    0.037352   0.0336924  0.00122646
          17    0.029756   0.0334608  0.00117597
          18    0.035574   0.0335782  0.00111648
          19    0.036624   0.0337385  0.00106917
          20    0.034154   0.0337593  0.00101591
